Cliente,Saída,Chegada,Estadia (em dias),Estrelas,Orçamento (em reais)
269,RIO,SAO,9,5,2500
270,FLN,FLN,9,3,5700
271,SAO,SAO,7,3,3000
272,REC,BH,9,5,5600
273,REC,BH,2,4,3200
274,BH,PMW,4,5,5900
275,POA,POA,2,3,2100
276,BH,BH,8,4,3700
277,BH,RIO,5,5,5800
278,SSA,PMW,9,5,4100
279,MCZ,POA,9,3,3900
280,PMW,FLN,2,5,4200
281,PMW,SSA,7,3,3400
282,SP,RIO,8,4,4600
283,POA,BH,2,4,4700
284,SAO,PMW,2,3,2800
285,SAO,BSB,7,5,5500
286,FLN,PMW,2,4,5700
287,BSB,FLN,7,3,5600
288,SAO,REC,9,4,2700
289,RIO,POA,10,5,5300
290,BSB,MCZ,4,5,5900
291,PMW,PMW,3,4,5200
292,RIO,BSB,4,3,4100
293,BH,BSB,7,3,4600
294,SP,POA,5,4,4600
295,MCZ,BSB,9,5,3600
296,SP,BH,3,3,5200
297,SAO,PMW,3,4,4900
298,BH,BH,7,4,4600
299,BH,PMW,8,3,5000
300,RIO,BSB,4,4,5500
301,RIO,RIO,7,5,2000
302,SSA,PMW,2,3,2500
303,BH,RIO,2,4,5300
304,BSB,BSB,9,4,3700
305,BH,FLN,4,3,2300
306,SP,REC,5,4,5600
307,FLN,FLN,9,4,5900
308,POA,SSA,9,3,3300
309,BSB,BSB,7,5,4300
310,POA,PMW,4,5,5500
311,BH,BSB,8,5,3600
312,REC,RIO,4,4,4700
313,RIO,REC,3,4,4900
314,MCZ,BH,8,4,5800
315,SAO,BSB,4,4,5100
316,BH,FLN,9,3,5000
317,PMW,PMW,4,5,4900
318,POA,REC,6,3,4700
319,PMW,MCZ,9,3,4100
320,POA,BSB,4,4,4600
321,POA,PMW,6,4,5000
322,PMW,BSB,2,3,4400
323,BSB,REC,7,5,5900
324,BH,FLN,8,4,3700
325,BSB,MCZ,2,3,2900
326,REC,POA,2,5,5700
327,REC,REC,6,3,4700
328,PMW,RIO,5,3,5100
329,FLN,POA,9,3,2700
330,REC,REC,4,5,4600
331,MCZ,RIO,9,3,2900
332,MCZ,FLN,9,4,5000
333,RIO,BH,9,4,4100
334,FLN,BSB,10,5,2100
335,RIO,FLN,8,4,2100
336,FLN,PMW,10,3,5500
337,SP,BSB,9,4,2400
338,MCZ,REC,10,3,3900
339,FLN,PMW,9,3,4700
340,PMW,POA,9,4,3500
341,MCZ,BSB,6,5,5200
342,BSB,POA,5,4,3800
343,MCZ,FLN,7,5,3700
344,SP,POA,7,3,2300
345,PMW,POA,2,4,2000
346,RIO,BH,10,5,4700
347,POA,SAO,5,5,4800
348,BH,RIO,4,4,3500
349,BH,PMW,5,3,2000
350,BSB,SSA,3,3,2900
351,MCZ,RIO,7,4,3500
352,POA,MCZ,8,4,2600
353,SP,PMW,3,5,5100
354,MCZ,FLN,3,3,2900
355,POA,SAO,6,3,2100
356,SP,SSA,6,5,3700
357,BSB,PMW,2,4,3900
358,REC,BH,4,5,5200
359,PMW,SSA,9,4,3200
360,RIO,PMW,3,5,4400
361,BSB,RIO,7,5,5500
362,MCZ,BH,10,4,2900
363,SAO,FLN,5,3,5100
364,SSA,SAO,7,5,3600
365,SP,RIO,10,3,5800
366,REC,RIO,2,4,5000
367,SAO,FLN,2,3,4300
368,SAO,REC,6,3,5900
369,SSA,RIO,4,3,5900
370,SP,RIO,2,3,2600
371,MCZ,PMW,5,4,4200
372,POA,SSA,4,3,3400
373,SP,PMW,9,5,3600
374,BH,FLN,5,5,4200
375,BH,FLN,6,5,3300
376,FLN,FLN,2,3,5100
377,SP,MCZ,2,3,3400
378,POA,PMW,3,5,3000
379,BSB,POA,3,3,3700
380,POA,REC,5,4,5200
381,SSA,SAO,2,3,5600
382,SAO,BH,9,5,4500
383,SSA,FLN,3,4,4700
384,POA,REC,9,4,5800
385,SAO,PMW,2,3,2200
386,MCZ,BSB,9,3,4000
387,SSA,BH,5,4,2900
388,POA,BSB,10,4,5800
389,MCZ,BH,8,4,4000
390,FLN,RIO,6,3,3500
391,SAO,PMW,6,5,3700
392,SP,BH,10,4,4300
393,RIO,PMW,6,5,4300
394,SAO,RIO,4,5,2400
395,BSB,REC,4,3,3400
396,SAO,REC,4,3,2400
397,POA,BH,6,4,2900
398,PMW,BH,5,5,2000
399,MCZ,POA,5,5,3000
400,RIO,FLN,9,5,3100
401,POA,FLN,6,3,4400
402,RIO,BSB,10,4,3800
403,MCZ,FLN,7,4,2100
404,RIO,PMW,2,3,2200
405,MCZ,MCZ,2,4,5000
406,RIO,POA,5,4,4300
407,RIO,SAO,4,4,5800
408,FLN,FLN,5,5,4500
409,PMW,FLN,10,3,3200
410,REC,SSA,8,4,4700
411,POA,SAO,8,3,2000
412,POA,PMW,6,4,2900
413,SAO,BH,9,3,3900
414,SAO,REC,6,5,5800
415,SP,POA,5,5,4100
416,SSA,PMW,10,5,5700
417,SAO,RIO,2,3,4700
418,SSA,BH,9,5,3600
419,RIO,SSA,9,4,3500
420,SP,BSB,2,5,2000
421,SP,FLN,7,5,4000
422,SP,SAO,2,4,2700
423,PMW,RIO,7,4,2400
424,SP,BH,10,5,5100
425,REC,BH,5,4,3400
426,PMW,BSB,3,5,5700
427,FLN,RIO,6,4,5100
428,PMW,RIO,2,3,3200
429,MCZ,PMW,6,5,4900
430,SSA,MCZ,2,5,5600
431,BH,RIO,8,5,4200
432,RIO,BH,5,4,3200
433,POA,SAO,5,4,5900
434,POA,SAO,9,5,4500
435,MCZ,PMW,4,4,5000
436,MCZ,BH,6,5,5800
437,SP,PMW,4,4,2200
438,REC,POA,4,5,2300
439,SP,SAO,7,4,4900
440,POA,MCZ,9,4,5500
441,SAO,BH,5,5,3900
442,RIO,SSA,8,4,3500
443,SAO,MCZ,5,3,3600
444,POA,SSA,6,5,3400
445,SAO,PMW,4,4,2700
446,SAO,RIO,5,5,4300
447,BH,FLN,10,5,3000
448,POA,BSB,2,4,4700
449,BSB,PMW,6,4,5100
450,FLN,SAO,8,3,3200
451,SP,SAO,7,4,2900
452,SSA,PMW,2,5,4900
453,SSA,RIO,4,5,2000
454,SP,SSA,8,4,3900
455,REC,RIO,5,5,5100
456,POA,REC,8,5,3300
457,SSA,RIO,4,4,2500
458,REC,POA,4,5,5400
459,SSA,REC,5,4,2600
460,BH,SAO,6,4,4500
461,SP,PMW,7,4,4300
462,RIO,SAO,8,3,5900
463,PMW,PMW,3,4,4600
464,PMW,SSA,4,4,5100
465,POA,FLN,5,5,5400
466,FLN,PMW,7,5,5900
467,FLN,BSB,5,5,2600
468,BH,FLN,5,3,5900
469,SP,BH,8,4,2500
470,PMW,FLN,5,3,4500
471,FLN,BH,2,3,2500
472,REC,SAO,3,3,3600
473,BH,REC,9,5,4700
474,SP,BSB,7,4,2100
475,REC,SAO,10,5,4600
476,BSB,POA,6,5,4000
477,FLN,POA,5,5,4600
478,MCZ,PMW,9,3,2000
479,REC,RIO,6,3,5000
480,MCZ,BH,9,4,2600
481,SP,BH,5,4,4600
482,FLN,REC,5,4,4800
483,SAO,FLN,10,3,4100
484,BH,PMW,7,5,4400
485,PMW,SSA,7,4,4200
486,RIO,REC,9,3,5600
487,PMW,SAO,3,3,3500
488,REC,PMW,4,4,5400
489,BSB,SSA,6,3,3400
490,FLN,POA,5,4,5800
491,POA,RIO,5,5,5700
492,RIO,BH,4,3,3000
493,FLN,BSB,3,5,3100
494,PMW,SAO,7,5,2700
495,RIO,BH,10,4,4000
496,FLN,BSB,6,3,5500
497,FLN,MCZ,8,3,5500
498,FLN,SAO,6,5,4300
499,SSA,MCZ,2,3,5200
500,BH,POA,4,3,3600
501,BSB,SSA,6,5,3200
502,FLN,BH,5,4,3300
503,SSA,PMW,6,5,2300
504,SSA,PMW,8,4,4500
505,MCZ,MCZ,9,4,4600
506,SP,PMW,7,3,3200
507,RIO,BH,6,3,3900
508,BSB,BH,10,5,4300
509,SSA,BSB,8,3,5100
510,PMW,RIO,5,3,2700
511,BSB,SSA,6,3,4600
512,SSA,SAO,10,3,3900
513,POA,BH,4,3,5900
514,BH,FLN,4,4,5700
515,BH,MCZ,5,4,4800
516,BH,SAO,4,3,4900
517,SAO,SAO,10,5,2000
518,MCZ,REC,7,5,4000
519,RIO,POA,5,4,2200
520,BSB,POA,10,3,2700
521,REC,SAO,5,5,2500
522,PMW,REC,3,5,2800
523,POA,BSB,5,5,3500
524,PMW,SSA,4,4,4900
525,SSA,REC,10,3,3500
526,PMW,RIO,10,4,4900
527,BH,RIO,5,5,4400
528,SP,MCZ,9,4,3400
529,RIO,FLN,4,5,5500
530,RIO,SSA,6,5,3700
531,BH,BH,6,4,2200
532,POA,FLN,7,4,3500
533,BSB,FLN,6,3,3300
534,SAO,SSA,6,5,2300
535,POA,PMW,2,5,3400
536,SAO,PMW,8,4,3200
537,PMW,BH,5,4,4000
538,BH,PMW,10,4,2100
539,SSA,SAO,7,4,3000
540,POA,BSB,10,4,5700
541,BSB,MCZ,2,3,4800
542,REC,PMW,6,3,3200
543,MCZ,PMW,7,3,3600
544,REC,SSA,2,5,2400
545,POA,BSB,6,5,4200
546,BSB,SAO,4,5,5000
547,SAO,SAO,6,5,3800
548,PMW,BH,6,4,5400
549,BH,PMW,9,4,5200
550,POA,BSB,9,3,3200
551,MCZ,RIO,5,5,4700
552,SSA,PMW,8,3,2200
553,SAO,REC,8,5,5500
554,RIO,PMW,2,5,5600
555,BH,PMW,4,5,5800
556,POA,BSB,10,4,3600
557,RIO,SAO,6,3,4700
558,SP,PMW,3,3,2100
559,FLN,BSB,7,5,4500
560,RIO,POA,2,4,5200
561,RIO,SSA,5,4,4300
562,POA,SSA,2,5,5400
563,MCZ,MCZ,5,4,4500
564,SSA,MCZ,9,3,4700
565,MCZ,REC,7,3,4000
566,FLN,PMW,5,3,5500
567,FLN,RIO,3,4,5100
568,FLN,PMW,3,5,3000
569,REC,PMW,4,5,3700
570,SAO,REC,10,5,3100
571,SAO,MCZ,4,4,3300
572,RIO,REC,5,5,4200
573,SP,FLN,10,3,5400
574,SP,BSB,3,5,4800
575,BH,POA,9,4,3800
576,REC,BSB,6,5,3700
577,RIO,FLN,3,3,2500
578,RIO,SSA,3,3,2300
579,BH,MCZ,3,3,2300
580,REC,MCZ,5,4,2900
581,SP,PMW,7,3,5300
582,POA,SAO,7,3,2200
583,FLN,BSB,8,3,5000
584,SSA,POA,10,4,5600
585,RIO,SSA,9,4,2900
586,SSA,SSA,8,3,4800
587,FLN,PMW,8,5,3300
588,POA,RIO,2,4,2300
589,SSA,FLN,4,4,5300
590,RIO,SAO,9,4,5100
591,REC,BH,10,5,3800
592,SSA,REC,6,4,5400
593,SSA,POA,4,4,2700
594,FLN,POA,2,4,3300
595,MCZ,REC,2,3,2500
596,REC,BH,7,4,2900
597,SP,REC,3,4,4900
598,SSA,SSA,2,3,4900
599,MCZ,REC,6,5,2700
600,BSB,POA,10,4,2800
601,REC,MCZ,4,3,4800
602,BH,SSA,4,5,5200
603,SAO,PMW,10,3,2900
604,PMW,PMW,3,5,4200
605,SAO,BH,4,4,5300
606,SSA,RIO,7,4,4300
607,SSA,SSA,8,3,5700
608,BSB,SAO,6,5,2400
609,FLN,MCZ,6,3,5800
610,MCZ,SSA,10,4,5200
611,SSA,REC,6,5,3600
612,FLN,FLN,10,4,2700
613,BH,POA,7,4,2900
614,MCZ,PMW,9,4,4600
615,SP,PMW,8,3,5500
616,PMW,BH,6,4,4500
617,RIO,BSB,10,4,5200
618,BH,PMW,5,5,3700
619,MCZ,REC,5,5,2000
620,RIO,POA,5,3,5600
621,REC,SSA,6,5,4100
622,POA,POA,10,4,5100
623,BH,SSA,7,3,3500
624,POA,SAO,10,3,5300
625,MCZ,RIO,2,5,3600
626,FLN,POA,9,4,4200
627,BH,PMW,3,4,3900
628,PMW,BH,7,4,3900
629,BH,PMW,4,5,4500
630,POA,BH,6,5,5700
631,SSA,SAO,3,3,2200
632,SP,RIO,7,5,3500
633,SAO,MCZ,6,3,5200
634,MCZ,POA,2,3,2300
635,SP,MCZ,8,4,5800
636,PMW,POA,10,4,2000
637,POA,RIO,10,3,5300
638,MCZ,RIO,3,5,2400
639,POA,PMW,8,4,4900
640,MCZ,BSB,7,3,4700
641,BSB,FLN,5,3,3100
642,FLN,PMW,2,5,5500
643,MCZ,POA,10,3,2900
644,BSB,MCZ,3,4,4300
645,SAO,PMW,7,5,2200
646,SP,PMW,10,5,4900
647,SP,SAO,6,5,3100
648,SAO,PMW,4,5,5500
649,BSB,POA,4,5,4300
650,SP,RIO,3,4,4600
651,SAO,SAO,4,3,4300
652,SSA,BH,3,3,5900
653,SP,RIO,6,3,3000
654,SP,SSA,3,3,5600
655,SAO,PMW,10,3,5200
656,FLN,SSA,3,3,4000
657,SAO,REC,6,4,2000
658,POA,BH,2,5,4200
659,SP,RIO,2,3,3900
660,REC,RIO,4,5,3200
661,POA,SAO,3,4,3200
662,SSA,PMW,10,4,3500
663,FLN,REC,4,4,4800
664,SP,MCZ,10,3,2800
665,SP,SSA,3,3,2600
666,SAO,FLN,3,4,3700
667,SAO,BH,3,4,3300
668,SAO,PMW,6,3,5900
669,SP,BSB,2,3,4700
670,POA,BH,9,4,5300
671,SSA,REC,2,3,2900
672,SSA,PMW,4,5,3800
673,SSA,POA,3,3,4000
674,FLN,REC,4,5,5500
675,PMW,POA,8,5,4700
676,MCZ,BSB,2,5,3400
677,MCZ,SSA,8,3,5600
678,SAO,FLN,10,3,4500
679,SSA,PMW,4,5,4200
680,RIO,PMW,4,4,2900
681,REC,SAO,4,3,4300
682,REC,SAO,4,5,2100
683,SSA,PMW,9,5,3100
684,SP,PMW,4,3,4200
685,SSA,MCZ,10,3,2800
686,RIO,REC,2,5,5700
687,FLN,REC,5,4,5500
688,SP,FLN,8,4,2500
689,SP,FLN,10,5,3300
690,FLN,BH,3,4,2100
691,BH,REC,9,3,2800
692,SAO,RIO,8,3,5800
693,BH,SAO,4,5,3000
694,MCZ,SAO,7,5,3600
695,BSB,PMW,9,5,5800
696,SP,PMW,6,3,3200
697,MCZ,FLN,5,5,5800
698,SSA,PMW,4,3,5500
699,SP,REC,3,3,5800
700,SAO,POA,2,3,2200
701,SSA,MCZ,5,5,4800
702,SP,PMW,8,5,5300
703,MCZ,REC,2,5,5000
704,POA,SAO,7,3,2300
705,POA,MCZ,5,3,5600
706,MCZ,FLN,10,5,5400
707,BSB,SSA,5,3,5200
708,SSA,PMW,10,3,4900
709,SP,SAO,2,5,2500
710,MCZ,FLN,10,5,4600
711,REC,PMW,10,3,5300
712,PMW,PMW,10,5,3600
713,RIO,BSB,4,5,3600
714,BH,PMW,4,4,3100
715,SAO,BSB,4,4,5900
716,RIO,FLN,9,4,4500
717,SP,SAO,7,3,5200
718,MCZ,SSA,9,5,4600
719,PMW,BSB,4,3,3400
720,SAO,SSA,6,5,5900
721,PMW,REC,5,5,5800
722,BSB,BH,6,4,5300
723,BH,REC,10,4,2500
724,PMW,BSB,5,4,2200
725,SAO,FLN,5,3,3500
726,FLN,PMW,9,3,5500
727,REC,RIO,9,5,4600
728,SSA,PMW,8,5,4500
729,PMW,PMW,4,4,5900
730,SP,BSB,8,3,4400
731,POA,PMW,3,3,4900
732,RIO,MCZ,3,3,5400
733,POA,PMW,3,5,3000
734,SP,FLN,4,4,5300
735,REC,FLN,9,5,4700
736,SSA,RIO,10,4,5100
737,SP,MCZ,10,4,4200
738,REC,PMW,10,5,3600
739,SSA,RIO,3,3,4300
740,POA,REC,3,3,5300
741,FLN,REC,4,5,3200
742,SSA,PMW,4,5,2500
743,BH,BSB,10,3,3300
744,BSB,RIO,8,3,4300
745,BSB,MCZ,5,5,4800
746,SP,SSA,3,5,4600
747,SAO,PMW,6,4,4300
748,MCZ,SSA,8,5,3900
749,POA,PMW,9,3,4400
750,PMW,MCZ,4,3,3600
751,FLN,POA,7,5,3600
752,BH,SSA,8,5,5900
753,MCZ,BSB,10,5,4800
754,BSB,SAO,5,3,4600
755,BH,POA,10,3,4900
756,SSA,POA,6,5,3200
757,SP,REC,3,5,3200
758,MCZ,SSA,2,3,4000
759,MCZ,MCZ,7,4,3700
760,MCZ,PMW,9,5,2700
761,REC,POA,3,4,3500
762,POA,PMW,6,4,2400
763,SAO,SSA,6,3,2000
764,PMW,BSB,8,4,2800
765,BH,POA,7,3,3400
766,MCZ,PMW,2,4,5000
767,MCZ,SSA,5,4,4100
768,POA,POA,10,5,5000
769,SP,RIO,2,3,5300
770,PMW,MCZ,5,3,3500
771,FLN,REC,10,4,5700
772,REC,BSB,8,4,3200
773,FLN,POA,9,5,5100
774,FLN,MCZ,7,3,4400
775,FLN,PMW,10,4,2900
776,POA,POA,8,3,3100
777,BSB,POA,6,3,3900
778,SP,PMW,6,5,2700
779,SSA,SAO,4,4,2500
780,RIO,SSA,9,5,4300
781,PMW,PMW,10,5,2700
782,FLN,MCZ,4,5,2300
783,SSA,SAO,6,5,2600
784,PMW,REC,10,4,5100
785,SSA,MCZ,2,4,4000
786,BSB,REC,5,3,4900
787,RIO,PMW,4,5,3500
788,POA,MCZ,4,5,3700
789,POA,PMW,4,5,3200
790,FLN,SSA,5,4,5700
791,SSA,PMW,9,3,2900
792,BSB,POA,3,3,4900
793,SP,PMW,5,4,2300
794,BSB,BH,4,5,4300
795,MCZ,FLN,7,4,4200
796,BSB,BH,2,4,2900
797,BH,PMW,6,5,4800
798,REC,SSA,8,5,2100
799,BH,BH,8,4,5500
800,FLN,RIO,4,4,4800
801,BH,BSB,6,4,2700
802,SSA,PMW,10,4,2400
803,REC,PMW,9,4,5600
804,MCZ,PMW,5,5,3200
805,PMW,BSB,3,3,2500
806,BSB,SSA,5,5,3600
807,SP,REC,9,4,2800
808,FLN,FLN,4,5,5500
809,SAO,BSB,10,5,5400
810,MCZ,RIO,6,5,3400
811,SSA,RIO,5,4,4900
812,BSB,SSA,7,3,5800
813,MCZ,SAO,9,4,5600
814,BH,SAO,5,5,2600
815,FLN,REC,6,4,2500
816,MCZ,POA,4,5,3900
817,BSB,FLN,7,5,4300
818,SSA,MCZ,5,4,3900
819,REC,SSA,3,3,5500
820,REC,REC,9,4,3700
821,SAO,BSB,7,3,5300
822,POA,FLN,7,4,3100
823,SAO,BSB,6,5,4800
824,PMW,PMW,4,3,5100
825,SP,REC,4,4,5600
826,FLN,BSB,8,5,2100
827,RIO,MCZ,5,3,5900
828,SSA,POA,9,3,3400
829,BSB,POA,3,5,3700
830,REC,RIO,10,3,5400
831,BSB,MCZ,3,4,3100
832,BH,REC,7,3,3800
833,SAO,SSA,10,5,5800
834,REC,SAO,2,4,2700
835,RIO,PMW,7,4,5200
836,RIO,REC,9,4,2200
837,PMW,BH,8,3,4400
838,BH,FLN,9,4,5600
839,FLN,PMW,8,5,3000
840,REC,FLN,9,5,5800
