Cliente,Saída,Chegada,Estadia (em dias),Estrelas,Orçamento (em reais)
254,BH,BSB,16,3,8999
255,REC,FLN,13,2,2539
256,MCZ,FLN,6,3,8624
257,FLN,REC,6,5,2073
258,POA,SSA,12,2,7326
259,RIO,SAO,20,1,8517
260,BSB,BH,16,1,4737
261,PMW,POA,9,2,9295
262,POA,MCZ,8,3,5991
263,RIO,FLN,17,2,5026
264,SAO,BH,20,4,6065
265,FLN,BH,8,5,8683
266,FLN,BH,4,1,8628
267,BSB,PMW,2,5,7803
268,BH,SAO,20,1,7451
269,BSB,FLN,18,2,8544
270,BSB,BH,4,1,7368
271,SSA,SAO,11,4,6445
272,POA,BH,11,4,4193
273,BH,RIO,10,5,9949
274,SSA,REC,1,4,9429
275,BH,BSB,5,5,5547
276,BSB,BH,16,1,7822
277,SAO,FLN,6,2,2850
278,SSA,SP,11,5,2071
279,BSB,FLN,10,2,8676
280,RIO,SP,6,5,3155
281,BH,SSA,7,1,9937
282,BSB,MCZ,7,5,8024
283,BSB,PMW,6,5,9177
284,BH,FLN,7,4,3746
285,FLN,BH,8,2,8828
286,SSA,SP,18,5,2141
287,POA,RIO,6,1,8504
288,FLN,MCZ,1,2,8015
289,POA,SAO,8,2,6530
290,FLN,POA,13,2,4971
291,SAO,BH,10,1,2294
292,SSA,REC,2,3,8247
293,RIO,POA,5,4,2341
294,SAO,PMW,18,1,8628
295,FLN,SP,17,4,7488
296,REC,BH,4,2,2195
297,FLN,REC,3,2,7389
298,REC,PMW,12,4,5403
299,RIO,FLN,6,3,2535
300,SP,POA,4,2,2173
301,SSA,SAO,10,1,2893
302,SAO,BH,19,3,4113
303,FLN,SAO,14,4,6856
304,REC,SSA,11,3,9169
305,BSB,SP,10,4,9607
306,BSB,BH,5,1,3180
307,RIO,PMW,16,4,4062
308,SAO,BSB,6,2,2857
309,MCZ,SAO,19,5,2572
310,SSA,BH,15,3,8978
311,PMW,BH,6,1,8196
312,SAO,SSA,6,5,8534
313,PMW,REC,8,1,9272
314,MCZ,SSA,4,5,9053
315,SP,MCZ,4,4,7504
316,SSA,SAO,9,4,6263
317,RIO,FLN,3,3,6032
318,PMW,FLN,5,4,9821
319,SAO,RIO,2,3,4489
320,MCZ,FLN,8,3,2581
321,FLN,MCZ,13,4,2076
322,PMW,POA,20,5,5060
323,BSB,POA,5,5,8808
324,PMW,RIO,4,3,4244
325,SAO,BSB,2,1,2875
326,PMW,BH,2,1,9885
327,RIO,SSA,6,4,6019
328,REC,BSB,20,3,5704
329,SAO,BH,14,3,8406
330,POA,SP,19,5,3241
331,SP,SAO,1,5,9653
332,BH,FLN,15,4,3896
333,REC,RIO,19,3,4408
334,BH,RIO,9,5,9978
335,MCZ,SP,1,1,5376
336,PMW,RIO,3,2,2366
337,SAO,PMW,3,5,8583
338,SP,BSB,15,1,6715
339,POA,SSA,20,5,9794
340,MCZ,SP,17,2,5346
341,SAO,MCZ,11,2,2614
342,BSB,SP,9,3,3804
343,POA,BSB,10,2,7114
344,BSB,PMW,8,3,7850
345,SAO,POA,19,4,9370
346,FLN,SAO,6,3,4671
347,SP,FLN,7,2,2475
348,RIO,REC,13,4,7862
349,POA,MCZ,9,3,9272
350,SAO,SSA,19,3,6682
351,REC,SAO,13,2,2354
352,BH,SSA,14,3,4388
353,BSB,PMW,20,2,9834
354,SAO,RIO,12,4,3944
355,SP,PMW,20,2,2825
356,PMW,FLN,2,1,9704
357,SP,BH,7,5,7008
358,POA,FLN,19,2,4808
359,FLN,REC,6,2,5795
360,RIO,SP,9,5,5068
361,RIO,BSB,5,5,2928
362,SP,REC,9,3,3561
363,FLN,PMW,1,5,4560
364,SP,POA,11,3,4444
365,REC,PMW,4,1,2679
366,BH,RIO,18,2,3080
367,FLN,SSA,3,2,9059
368,PMW,BH,5,1,2476
369,SSA,FLN,17,5,2374
370,SSA,RIO,20,1,8827
371,MCZ,REC,15,5,6483
372,BSB,SSA,11,1,4263
373,SSA,MCZ,15,1,7894
374,SAO,FLN,18,3,7191
375,POA,SP,9,2,8247
376,REC,BH,2,4,5650
377,PMW,POA,19,4,6294
378,POA,BH,15,5,3856
379,SSA,REC,8,4,5187
380,MCZ,BSB,1,5,2507
381,BH,PMW,18,4,9028
382,RIO,FLN,13,4,7710
383,BH,MCZ,13,4,8904
384,SP,PMW,7,5,5555
385,REC,POA,18,3,8006
386,MCZ,POA,16,4,9324
387,BH,PMW,8,5,3185
388,SAO,POA,2,4,4629
389,MCZ,POA,16,1,5150
390,PMW,REC,14,1,8090
391,SAO,SP,17,1,4007
392,MCZ,SP,6,2,5595
393,BH,MCZ,16,1,2272
394,RIO,PMW,16,2,5010
395,PMW,SAO,11,5,9853
396,SP,SAO,16,2,4909
397,MCZ,SAO,14,2,8087
398,POA,BH,7,2,7586
399,POA,SSA,6,1,5127
400,SSA,SAO,5,2,4917
401,REC,SSA,12,2,4515
402,PMW,BSB,11,3,4660
403,MCZ,FLN,5,2,4020
404,SAO,SP,14,2,7792
405,POA,RIO,14,1,4327
406,MCZ,PMW,8,4,6506
407,BSB,RIO,13,3,8226
408,PMW,FLN,3,1,7181
409,BSB,BH,9,4,9073
410,BSB,POA,10,5,2294
411,BSB,REC,1,2,2016
412,BH,FLN,7,2,8789
413,SSA,SP,8,2,3527
414,RIO,PMW,11,4,2478
415,FLN,PMW,6,1,8144
416,BH,SAO,2,1,9784
417,SAO,SSA,2,5,7596
418,BH,SP,11,3,7822
419,BSB,PMW,18,2,7345
420,PMW,POA,18,4,5987
421,POA,FLN,13,3,2851
422,SP,BH,8,5,8306
423,BSB,SAO,9,4,5416
424,MCZ,PMW,12,5,6893
425,PMW,SAO,13,1,8898
426,SAO,POA,15,1,5421
427,BH,RIO,2,1,7491
428,POA,MCZ,3,4,3627
429,SP,RIO,18,4,2038
430,SAO,POA,5,1,6047
431,FLN,SP,9,3,8617
432,FLN,POA,1,1,3747
433,BH,FLN,18,4,2404
434,FLN,REC,6,3,7441
435,SP,FLN,8,1,8775
436,RIO,REC,19,5,5484
437,REC,SSA,6,2,3443
438,BSB,FLN,11,1,6159
439,BSB,SAO,5,1,9599
440,REC,BSB,9,2,9404
441,REC,BH,9,5,5490
442,REC,SSA,20,4,2710
443,REC,BH,2,2,4048
444,PMW,BSB,5,5,6390
445,BSB,FLN,16,2,6371
446,PMW,REC,15,5,6570
447,FLN,SP,10,1,3641
448,POA,FLN,1,5,6920
449,REC,RIO,9,1,9436
450,PMW,POA,18,2,2533
451,FLN,PMW,19,4,3809
452,FLN,REC,5,1,2827
453,SP,BH,9,4,3337
454,PMW,SSA,1,4,9917
455,SAO,BSB,14,3,2389
456,SSA,BSB,5,5,7566
457,MCZ,BSB,13,4,7250
458,RIO,MCZ,11,2,4236
459,BSB,FLN,18,4,2960
460,PMW,BH,11,5,3755
461,SAO,RIO,1,1,9329
462,SP,PMW,15,3,8961
463,BH,POA,8,5,6083
464,MCZ,SSA,7,1,6638
465,BSB,POA,16,2,7582
466,SP,SSA,5,5,8103
467,SSA,FLN,13,4,5585
468,SAO,MCZ,10,1,9861
469,PMW,RIO,11,5,2196
470,REC,POA,4,4,4219
471,FLN,REC,14,4,7341
472,REC,MCZ,13,2,3001
473,PMW,MCZ,16,1,2639
474,BSB,BH,6,4,9626
475,RIO,MCZ,15,3,6917
476,PMW,MCZ,20,2,6365
477,BH,SAO,13,2,6463
478,MCZ,BH,11,1,2196
479,MCZ,SSA,15,3,5469
480,SAO,SSA,2,1,2824
481,BH,FLN,14,5,9577
482,BH,SSA,7,1,6783
483,REC,SSA,9,2,9276
484,SSA,RIO,10,1,9965
485,PMW,BSB,12,4,9645
486,REC,BH,12,1,4312
487,MCZ,PMW,13,4,4787
488,RIO,MCZ,17,5,8632
489,PMW,BH,4,1,2132
490,SSA,FLN,13,5,8126
491,REC,BSB,6,3,5478
492,BH,SSA,4,4,5578
493,SAO,MCZ,13,2,6023
494,RIO,REC,5,4,7148
495,PMW,RIO,9,4,9689
496,SSA,BH,8,3,8329
497,PMW,SSA,20,2,3932
498,MCZ,PMW,19,1,3777
499,SAO,PMW,14,4,2158
500,RIO,SSA,15,1,5502
501,RIO,BSB,4,2,2479
502,POA,MCZ,13,4,4071
503,FLN,POA,7,4,5905
504,REC,BSB,16,1,8447
505,BH,REC,15,1,8570
506,BH,RIO,19,5,8979
507,RIO,SSA,1,5,6361
508,BH,SP,4,4,4979
509,POA,MCZ,5,3,9633
510,REC,SAO,2,4,5146
511,SSA,RIO,13,4,2667
512,POA,MCZ,16,2,5412
513,SP,POA,5,2,6514
514,SSA,POA,10,5,5043
515,REC,SAO,19,1,7858
516,SP,SAO,8,4,9168
517,POA,PMW,5,5,3851
518,POA,SP,13,2,4118
519,SP,BSB,9,5,8677
520,SSA,POA,15,4,5623
521,BSB,SP,10,1,2070
522,PMW,RIO,1,4,6505
523,SAO,FLN,3,1,5539
524,SSA,MCZ,4,2,3937
525,PMW,SAO,1,4,4086
526,SAO,BSB,3,4,2566
527,FLN,PMW,5,2,5209
528,REC,BSB,20,1,4617
529,MCZ,POA,13,4,2085
530,RIO,SSA,12,3,7729
531,FLN,BH,6,1,6388
532,MCZ,BH,8,3,8487
533,RIO,FLN,3,3,7348
534,FLN,SP,12,3,8255
535,POA,BSB,15,3,9317
536,SAO,SSA,14,5,9801
537,BH,SP,4,3,5554
538,FLN,RIO,11,5,3213
539,REC,POA,7,1,5304
540,POA,FLN,5,1,6578
541,BSB,MCZ,18,2,7097
542,SAO,REC,12,1,4220
543,RIO,SAO,7,5,6320
544,PMW,SSA,19,5,4690
545,FLN,MCZ,17,4,9946
546,POA,REC,13,2,6970
547,REC,BSB,9,3,2356
548,SP,BSB,14,3,2537
549,MCZ,SAO,1,5,7477
550,SAO,REC,16,1,6783
551,SSA,MCZ,19,2,8725
552,BSB,REC,18,1,4240
553,MCZ,SP,2,1,3762
554,PMW,SAO,14,2,4021
555,BH,SAO,1,2,6808
556,REC,MCZ,4,5,9566
557,SP,PMW,1,2,7165
558,BH,SSA,11,3,2356
559,FLN,REC,9,4,4433
560,BSB,RIO,18,2,4084
561,SAO,SP,15,5,2474
562,SSA,MCZ,3,3,6985
563,SP,MCZ,9,1,9811
564,RIO,PMW,8,2,10000
565,RIO,FLN,20,4,7070
566,POA,SP,5,2,6176
567,BH,MCZ,13,4,5065
568,SSA,PMW,11,5,5667
569,SAO,FLN,8,2,3262
570,PMW,RIO,12,1,9965
571,BSB,MCZ,12,4,2765
572,SSA,BH,15,3,2321
573,REC,MCZ,1,2,2340
574,RIO,REC,15,1,2509
575,PMW,POA,12,1,4547
576,SP,RIO,6,3,6055
577,MCZ,POA,10,5,2741
578,BSB,POA,16,2,6286
579,BSB,SAO,6,5,4901
580,SP,BH,7,3,3736
581,SSA,BH,9,5,2133
582,RIO,REC,9,2,7854
583,RIO,SAO,1,4,6880
584,PMW,BH,15,3,9420
585,RIO,SSA,1,5,7330
586,POA,SSA,20,2,2446
587,POA,SAO,2,3,3351
588,POA,PMW,11,3,7719
589,BSB,RIO,17,5,7514
590,MCZ,REC,18,5,6858
591,SAO,FLN,16,5,6560
592,SSA,REC,19,4,2073
593,SP,REC,13,1,4054
594,SP,POA,9,3,9920
595,BH,SP,5,2,7352
596,SSA,BSB,6,2,2086
597,BH,MCZ,15,3,6417
598,FLN,POA,19,5,9910
599,BH,MCZ,5,1,4222
600,BH,SAO,6,5,7895
601,MCZ,REC,13,5,2902
602,POA,BSB,11,1,8463
603,POA,SP,15,4,4996
604,SAO,BH,11,1,3648
605,BH,SSA,1,5,4251
606,PMW,BSB,13,5,3927
607,SSA,POA,7,5,2252
608,RIO,SSA,6,3,7983
609,SSA,PMW,4,5,7597
610,REC,SAO,20,3,6360
611,MCZ,PMW,3,3,2905
612,SP,RIO,19,4,5725
613,REC,SSA,4,3,2149
614,REC,MCZ,14,3,5202
615,FLN,RIO,1,5,9622
616,POA,BH,7,2,6692
617,BH,SAO,14,5,6201
618,FLN,REC,5,1,6871
619,FLN,BH,5,4,5211
620,FLN,RIO,14,1,9616
621,POA,FLN,12,5,6696
622,SP,BSB,1,1,3025
623,SP,SAO,4,1,9302
624,PMW,REC,20,3,7428
625,MCZ,BH,15,4,3010
626,SP,SSA,8,4,5689
627,FLN,RIO,17,4,4458
628,SP,POA,11,4,2852
629,MCZ,POA,1,2,2624
630,SSA,SP,8,1,4303
631,BH,PMW,12,2,6167
632,SP,REC,20,2,7395
633,BH,REC,18,5,3106
634,PMW,SSA,2,5,6264
635,PMW,POA,4,2,4341
636,SAO,MCZ,9,2,6992
637,MCZ,SSA,9,1,7214
638,RIO,SAO,15,5,9232
639,MCZ,SP,19,3,7875
640,SAO,SSA,12,2,8884
641,SSA,RIO,5,1,7001
642,PMW,MCZ,20,5,4350
643,BH,FLN,20,1,6163
644,PMW,RIO,11,5,6762
645,POA,FLN,20,3,6175
646,POA,SP,17,1,8671
647,REC,SSA,10,3,9862
648,RIO,SP,8,5,5227
649,SSA,RIO,8,2,2336
650,BSB,MCZ,9,1,7463
651,POA,BSB,12,2,3028
652,SP,BH,4,4,3859
653,BSB,FLN,20,4,5992
654,SP,SSA,15,2,4270
655,SSA,RIO,3,2,5356
656,SSA,PMW,2,5,9464
657,SAO,BH,8,3,8116
658,SAO,FLN,6,4,8533
659,SSA,REC,13,5,3556
660,SP,SSA,5,1,5439
661,SSA,MCZ,15,1,7049
662,POA,BSB,12,5,3205
663,REC,MCZ,20,4,3634
664,SAO,BH,11,1,7814
665,FLN,SP,12,4,6437
666,RIO,SAO,1,3,2156
667,SP,BH,12,4,4644
668,REC,SAO,5,4,6984
669,MCZ,SP,14,2,3164
670,MCZ,SAO,10,2,5563
671,SAO,POA,2,4,9813
672,BSB,FLN,9,3,3196
673,BSB,POA,15,5,9697
674,MCZ,POA,5,2,7477
675,SP,POA,2,3,5922
676,REC,FLN,11,3,6600
677,REC,POA,13,4,4275
678,FLN,REC,5,1,9159
679,REC,RIO,1,5,7379
680,BH,SSA,8,3,9409
681,BSB,SP,8,5,7685
682,POA,SAO,7,3,3059
683,PMW,RIO,1,3,2855
684,SSA,RIO,5,3,9606
685,REC,FLN,16,2,7482
686,MCZ,FLN,6,4,7566
687,BH,PMW,10,1,4034
688,PMW,POA,14,5,7821
689,REC,SAO,11,3,5736
690,POA,RIO,14,1,6928
691,SP,PMW,16,5,3495
692,PMW,SAO,18,2,6584
693,SAO,SSA,15,2,3655
694,RIO,SAO,20,5,8038
695,BSB,MCZ,17,4,2087
696,MCZ,BH,6,1,8448
697,RIO,REC,15,3,6139
698,BH,SSA,16,2,2258
699,RIO,PMW,17,4,8023
700,FLN,REC,20,1,3677
701,REC,MCZ,16,3,8049
702,SSA,PMW,16,3,2509
703,SSA,FLN,13,5,3992
704,BH,SSA,4,4,5174
705,BH,RIO,8,5,3962
706,SAO,REC,15,5,7777
707,BH,BSB,16,1,7319
708,SAO,MCZ,15,5,3327
709,SSA,PMW,15,3,7146
710,FLN,SAO,10,5,9696
711,REC,PMW,7,1,7855
712,SAO,FLN,3,4,7324
713,BSB,BH,16,5,5528
714,SAO,SP,15,3,8754
715,SP,RIO,1,2,2892
716,SAO,MCZ,6,2,9486
717,REC,BSB,19,3,2302
718,REC,BH,11,5,5539
719,RIO,FLN,5,2,6860
720,BH,SP,11,3,3888
721,REC,SP,2,4,4429
722,BSB,RIO,10,1,2795
723,RIO,SAO,20,4,9099
724,SAO,FLN,3,1,2111
725,BSB,BH,16,5,4843
726,POA,RIO,14,5,6655
727,FLN,SAO,9,5,8591
728,BSB,PMW,1,1,2088
729,FLN,SAO,14,4,5684
730,BH,RIO,11,3,3853
731,PMW,BSB,18,4,3224
732,MCZ,PMW,16,4,2691
733,RIO,BH,2,1,8008
734,SAO,BH,13,2,5249
735,RIO,PMW,6,1,5637
736,POA,SP,14,5,3374
737,POA,RIO,2,4,3172
738,FLN,PMW,12,4,4805
739,BSB,MCZ,6,4,4188
740,BH,SAO,18,2,7603
741,MCZ,SP,13,1,2848
742,BH,PMW,2,1,4629
743,BSB,PMW,14,2,9305
744,MCZ,SP,14,4,2822
745,RIO,PMW,12,3,7676
746,SAO,SSA,18,5,5462
747,PMW,SSA,11,4,4998
748,POA,MCZ,4,2,6880
749,BH,SAO,12,2,3286
750,BH,BSB,16,4,2167
751,PMW,FLN,3,4,4492
752,REC,SP,4,3,8261
753,PMW,SSA,13,1,8492
754,SSA,BH,10,4,3880
755,SSA,BSB,13,1,7346
756,RIO,PMW,5,3,5259
757,PMW,BH,5,4,7661
758,BSB,POA,2,3,2792
759,RIO,PMW,14,5,8912
760,BH,RIO,20,2,3150
761,SP,SSA,18,1,5308
762,POA,FLN,17,5,8050
763,REC,MCZ,14,4,7245
764,POA,SAO,20,4,6890
765,PMW,BH,5,1,2119
766,PMW,POA,20,2,3517
767,SP,RIO,19,2,8051
768,SSA,FLN,19,1,3206
769,SAO,POA,7,2,2449
770,BH,REC,5,4,7813
771,SSA,BH,6,1,7760
772,BH,FLN,6,5,2271
773,FLN,SSA,18,4,7082
774,SSA,RIO,19,1,4408
775,BSB,SAO,12,2,8772
776,SAO,FLN,8,5,5398
777,SAO,MCZ,2,2,2241
778,SAO,SP,11,4,2897
779,FLN,RIO,7,2,3220
780,SAO,REC,12,4,9373
781,PMW,BSB,12,5,6454
782,RIO,BSB,18,5,9578
783,REC,SSA,7,4,8706
784,SSA,SP,12,5,8675
785,POA,SSA,18,5,2415
786,MCZ,POA,16,1,4868
787,REC,BSB,16,5,6131
788,MCZ,BH,2,5,6519
789,BH,BSB,16,5,5643
790,MCZ,FLN,10,1,9312
791,FLN,POA,4,4,9947
792,SAO,FLN,6,5,2466
793,SSA,MCZ,5,4,6315
794,FLN,REC,12,3,7609
795,BSB,MCZ,9,2,2107
796,SAO,POA,17,1,5351
797,SSA,POA,12,4,5926
798,BSB,SSA,18,4,3859
799,MCZ,SP,6,4,9576
800,POA,REC,18,4,7058
801,SP,BH,18,3,4950
802,POA,SSA,16,3,9577
803,MCZ,BH,12,2,7796
804,PMW,MCZ,15,3,3261
805,SSA,RIO,11,3,8908
806,FLN,SP,8,4,5053
807,SP,SSA,10,1,9640
808,POA,RIO,3,5,4205
809,SSA,POA,19,2,3633
810,SAO,FLN,19,5,8308
811,REC,POA,1,5,8559
812,PMW,SP,20,3,2243
813,RIO,POA,7,5,5625
814,POA,BH,20,2,3189
815,REC,SSA,4,1,3032
816,PMW,SSA,7,1,2389
817,SSA,RIO,5,5,8220
818,BSB,RIO,12,1,7688
819,BH,SSA,11,5,9177
820,SP,BSB,20,1,2966
821,REC,POA,17,5,6103
822,PMW,BH,12,3,8800
823,PMW,BH,12,1,2257
824,SSA,POA,20,3,5566
825,SAO,SSA,2,3,5524
826,POA,RIO,15,1,6659
827,SAO,RIO,7,2,5299
828,RIO,REC,20,3,8336
829,SAO,FLN,20,5,7117
830,BH,SAO,9,2,5206
831,RIO,PMW,8,4,2638
832,SAO,RIO,17,3,2005
833,PMW,FLN,18,3,4321
834,BSB,REC,7,5,4345
835,PMW,BSB,15,5,5555
836,REC,BSB,13,4,5759
837,MCZ,FLN,19,5,7096
838,RIO,BSB,15,5,7815
839,MCZ,SSA,12,3,3063
840,SSA,RIO,11,4,3702
841,FLN,SP,2,4,5015
842,SAO,SP,16,4,5739
843,MCZ,POA,3,4,9140
844,PMW,POA,2,3,3550
845,POA,RIO,10,5,5515
