Cliente,Saída,Chegada,Estadia (em dias),Estrelas,Orçamento (em reais)
165,SAO,BSB,11,5,8845
166,POA,SSA,1,2,5646
167,REC,SAO,4,3,7081
168,SSA,FLN,8,2,4275
169,FLN,SSA,19,5,5188
170,BSB,REC,8,2,7824
171,SSA,SP,15,5,8265
172,MCZ,RIO,20,1,5843
173,MCZ,BSB,4,4,5850
174,BSB,FLN,3,5,2255
175,PMW,REC,16,4,8615
176,MCZ,SP,2,3,4739
177,FLN,SAO,14,5,9821
178,BH,SAO,1,1,3195
179,PMW,SAO,18,1,8832
180,SAO,MCZ,12,4,6928
181,REC,BH,6,4,8143
182,FLN,SSA,9,3,2543
183,MCZ,REC,6,4,5137
184,REC,SAO,10,1,7316
185,RIO,POA,16,2,5613
186,POA,SSA,4,2,7042
187,MCZ,BSB,1,3,2605
188,PMW,REC,1,4,5106
189,FLN,PMW,14,4,7889
190,RIO,BSB,6,2,8480
191,SP,POA,8,3,4886
192,BH,FLN,6,2,8075
193,BH,SSA,9,3,3116
194,MCZ,SSA,9,3,7869
195,POA,SAO,9,1,2307
196,SSA,REC,18,4,8258
197,PMW,RIO,5,4,5113
198,SSA,SP,19,3,8697
199,RIO,BSB,5,4,6387
200,BH,SAO,4,1,4503
201,MCZ,BH,2,4,4657
202,REC,RIO,16,4,7219
203,REC,FLN,11,1,9320
204,SAO,RIO,12,4,4323
205,BH,RIO,11,5,4379
206,BSB,SSA,12,3,5782
207,PMW,SSA,18,2,6614
208,SP,BH,11,1,3152
209,BSB,MCZ,12,5,5253
210,BSB,MCZ,1,5,3102
211,SAO,SP,1,1,9198
212,SAO,SSA,16,2,3065
213,PMW,BH,11,3,8437
214,PMW,POA,14,2,4124
215,BSB,BH,13,4,4822
216,SP,SSA,5,4,8185
217,POA,SP,12,1,5051
218,BH,REC,6,4,7193
219,SP,FLN,12,4,7642
220,MCZ,POA,13,4,5306
221,FLN,PMW,15,4,4676
222,SP,SAO,16,1,9407
223,PMW,SSA,1,4,6656
224,BH,POA,14,2,4267
225,POA,FLN,6,2,2289
226,SAO,BH,9,2,8504
227,REC,SAO,15,3,8969
228,SP,BSB,10,3,6596
229,SSA,BSB,4,3,4832
230,PMW,BH,14,2,9020
231,SSA,PMW,5,2,8845
232,BSB,POA,10,2,8306
233,PMW,SSA,3,4,7825
234,POA,RIO,19,1,8493
235,POA,BSB,20,3,7586
236,BH,PMW,7,1,9758
237,SSA,REC,14,2,4488
238,SAO,FLN,6,4,4428
239,FLN,BSB,7,3,4909
240,SSA,SAO,5,3,4935
241,PMW,MCZ,6,3,7244
242,FLN,SP,5,4,6062
243,PMW,MCZ,2,1,9967
244,SP,SSA,19,1,4781
245,PMW,POA,15,2,8045
246,POA,SSA,20,1,9654
247,BSB,REC,10,4,4142
248,MCZ,PMW,7,4,6962
249,POA,MCZ,17,1,4910
250,SAO,BH,10,1,8566
251,RIO,SSA,1,2,2338
252,SAO,SSA,2,1,4509
253,FLN,BH,5,4,3867
254,SAO,PMW,11,5,9762
255,BSB,BH,8,4,5527
256,SP,RIO,1,1,2967
257,SP,BSB,16,3,4711
258,RIO,FLN,6,3,9196
259,MCZ,SAO,6,2,4517
260,BSB,FLN,16,3,2556
261,RIO,SP,2,5,8662
262,SAO,RIO,6,4,5200
263,RIO,REC,17,4,7374
264,REC,BSB,10,1,8340
265,RIO,SP,17,2,3325
266,RIO,PMW,14,1,2118
267,POA,BH,6,4,3740
268,MCZ,BH,17,2,7531
269,SSA,SP,20,3,8454
270,SSA,PMW,7,1,2188
271,SAO,FLN,6,5,7042
272,SP,BSB,18,1,2784
273,SSA,SAO,19,4,8366
274,SP,SSA,4,2,5099
275,REC,SP,10,2,9162
276,BH,RIO,20,3,9072
277,REC,POA,18,4,4406
278,MCZ,REC,3,3,6585
279,BSB,REC,18,3,3536
280,SAO,RIO,7,1,9522
281,SSA,BSB,16,5,9504
282,POA,PMW,15,5,7392
283,SSA,SP,9,3,6224
284,SAO,RIO,10,2,5715
285,SP,REC,13,2,7595
286,MCZ,POA,7,5,2501
287,FLN,SP,17,3,3748
288,POA,RIO,1,4,3244
289,SP,SSA,16,5,9212
290,REC,BH,3,5,5565
291,RIO,BSB,16,1,8284
292,POA,PMW,16,5,3917
293,POA,FLN,18,4,6541
294,RIO,REC,17,5,3433
295,PMW,POA,17,4,4737
296,FLN,BH,2,4,7880
297,RIO,FLN,6,1,5058
298,RIO,MCZ,5,3,4379
299,BSB,SSA,3,3,8248
300,PMW,BH,10,1,8880
301,BSB,REC,5,1,6782
302,REC,BSB,17,4,9914
303,MCZ,FLN,8,4,4660
304,SSA,POA,4,4,3766
305,PMW,REC,20,3,6986
306,MCZ,BSB,8,1,4636
307,BSB,RIO,5,4,5710
308,BSB,SSA,7,1,8827
309,POA,MCZ,3,2,4153
310,MCZ,PMW,12,4,7469
311,BH,REC,19,3,8841
312,FLN,POA,5,5,6862
313,MCZ,REC,9,2,8528
314,POA,SSA,19,2,8161
315,SSA,FLN,17,2,6120
316,BH,SAO,14,2,9979
317,FLN,SAO,16,5,3552
318,MCZ,SAO,1,4,7703
319,BH,SSA,20,3,3656
320,PMW,MCZ,20,2,4276
321,POA,FLN,7,4,5660
322,RIO,PMW,8,2,2025
323,SP,REC,8,3,6449
324,REC,BH,3,5,6705
325,POA,SSA,19,1,4380
326,BSB,RIO,20,5,5790
327,PMW,REC,16,1,3827
328,SP,FLN,1,4,5221
329,POA,FLN,15,5,9512
330,FLN,BSB,17,3,7896
331,RIO,BSB,10,4,8541
332,SSA,FLN,5,1,3466
333,REC,POA,1,3,5146
334,SP,FLN,14,3,4182
335,BH,PMW,10,5,5794
336,REC,BH,1,4,3766
337,POA,BSB,8,1,6651
338,PMW,BSB,6,5,3031
339,SSA,PMW,7,4,9341
340,RIO,SP,4,1,8226
341,MCZ,BSB,10,5,6962
342,BSB,MCZ,17,2,3386
343,BH,BSB,2,4,2161
344,SP,FLN,5,4,8143
345,SAO,SSA,7,1,7223
346,POA,SP,14,4,2358
347,RIO,BSB,11,3,7886
348,SP,MCZ,9,3,5653
349,RIO,PMW,14,3,3424
350,SAO,MCZ,12,1,6294
351,POA,REC,9,1,2434
352,POA,REC,19,5,6522
353,MCZ,SAO,1,3,2003
354,MCZ,SAO,8,1,7895
355,SP,BSB,3,3,4039
356,FLN,SAO,20,2,2062
357,MCZ,BH,13,1,9963
358,PMW,FLN,9,1,5913
359,FLN,POA,2,1,2928
360,FLN,RIO,8,3,3462
361,BH,PMW,3,1,9499
362,SP,MCZ,11,5,2541
363,BSB,SSA,15,3,6260
364,BH,MCZ,12,4,9198
365,SP,SSA,13,3,3762
366,BH,RIO,13,1,3554
367,SSA,BSB,15,5,2412
368,MCZ,SP,17,1,8375
369,RIO,BSB,11,4,4693
370,POA,BSB,16,4,6003
371,FLN,RIO,6,5,5521
372,FLN,RIO,18,5,9029
373,BH,POA,5,1,2807
374,MCZ,BH,1,4,4061
375,SSA,FLN,5,4,7073
376,BSB,REC,18,2,8829
377,BSB,PMW,17,5,7419
378,MCZ,FLN,5,2,9694
379,SAO,BSB,11,4,4424
380,MCZ,PMW,10,1,6546
381,MCZ,PMW,19,2,2982
382,SP,BH,10,1,2722
383,BSB,PMW,7,4,6925
384,SAO,SSA,9,1,7865
385,SAO,REC,13,3,2404
386,RIO,FLN,10,1,6598
387,SSA,SAO,9,4,8766
388,REC,SSA,19,3,9493
389,POA,PMW,20,2,7189
390,SP,RIO,14,3,5290
391,PMW,BSB,14,2,6178
392,REC,BSB,3,5,4964
393,FLN,BSB,20,5,6921
394,BH,BSB,15,1,6596
395,REC,POA,8,1,4061
396,FLN,MCZ,2,1,8889
397,SP,BSB,14,3,3292
398,BSB,FLN,20,1,5121
399,POA,MCZ,4,1,2085
400,RIO,FLN,18,3,3859
401,POA,FLN,15,4,5204
402,POA,PMW,10,3,4538
403,MCZ,BSB,16,1,7273
404,FLN,RIO,3,3,2104
405,FLN,BSB,6,2,8937
406,SAO,BH,14,4,6994
407,SSA,PMW,18,2,4931
408,RIO,BH,17,1,4896
409,SAO,FLN,9,4,2122
410,SSA,POA,8,1,8354
411,REC,BH,11,5,2887
412,SAO,SP,2,2,6316
413,BSB,REC,10,4,6355
414,FLN,SAO,12,5,6328
415,BSB,RIO,1,1,9132
416,PMW,REC,17,4,5857
417,POA,FLN,3,2,4642
418,FLN,SSA,2,1,2427
419,MCZ,SAO,14,3,8707
420,MCZ,FLN,15,5,7036
421,SP,SSA,14,1,9735
422,SP,POA,6,1,3307
423,REC,MCZ,2,2,6504
424,FLN,MCZ,11,3,2784
425,POA,SAO,14,4,7137
426,FLN,REC,10,5,8997
427,SP,SSA,15,3,8969
428,BSB,PMW,2,4,3885
429,FLN,MCZ,16,1,2769
430,BSB,MCZ,8,5,6912
431,BSB,FLN,13,2,2389
432,RIO,REC,7,3,8082
433,REC,SSA,2,1,7390
434,RIO,SAO,11,2,3403
435,SP,BH,7,5,4367
436,BH,SSA,20,3,5517
437,SSA,REC,18,1,9247
438,SP,REC,6,4,4389
439,BH,SP,16,3,4216
440,MCZ,SAO,4,1,9243
441,RIO,SP,15,5,6847
442,RIO,BH,14,5,5877
443,SSA,BSB,16,3,7965
444,POA,PMW,17,2,3169
445,BSB,PMW,18,3,9710
446,SP,SSA,8,5,6061
447,SP,PMW,5,2,7333
448,BSB,FLN,12,2,8485
449,SSA,REC,15,4,5410
450,FLN,SSA,12,1,4433
451,SP,MCZ,12,5,3345
452,SSA,BSB,8,4,8910
453,REC,SSA,20,1,6752
454,REC,MCZ,19,2,5224
455,SSA,REC,19,2,6258
456,RIO,FLN,6,4,8864
457,RIO,BH,18,4,2968
458,SP,PMW,4,4,6597
459,BSB,REC,11,3,7526
460,FLN,MCZ,19,5,3073
461,SAO,MCZ,12,4,6351
462,RIO,MCZ,1,3,8154
463,SP,SSA,14,4,2263
464,MCZ,FLN,6,4,5158
465,SSA,MCZ,4,1,6556
466,SP,SSA,7,3,4551
467,SSA,RIO,10,3,7137
468,SP,REC,6,4,2978
469,RIO,BH,6,4,5334
470,BSB,MCZ,14,2,8472
471,SAO,MCZ,17,4,5503
472,FLN,RIO,5,2,5246
473,MCZ,BSB,1,4,3278
474,BH,RIO,12,3,4379
475,BH,SSA,2,1,2805
476,RIO,REC,20,3,2523
477,SP,MCZ,16,3,6137
478,FLN,REC,14,3,6003
479,BSB,BH,13,1,6568
480,RIO,BSB,16,5,3940
481,MCZ,RIO,7,2,3592
482,BSB,REC,10,5,3271
483,RIO,SP,19,5,4801
484,PMW,BSB,8,4,4057
485,REC,SP,1,3,8034
486,MCZ,BH,13,1,2719
487,BH,PMW,6,3,3529
488,SAO,FLN,17,2,6072
489,MCZ,SP,4,2,5340
490,PMW,RIO,16,5,2785
491,POA,REC,8,4,4471
492,BSB,POA,10,5,5764
493,REC,SAO,14,2,3180
494,REC,SAO,16,2,5246
495,RIO,BSB,8,1,9913
496,POA,RIO,8,4,7286
497,FLN,BSB,19,3,9504
498,SAO,SSA,18,5,6915
499,SSA,SP,17,4,7467
500,SSA,BH,17,1,2024
501,REC,SP,17,1,7709
502,BH,PMW,4,5,8199
503,SP,REC,4,3,7900
504,SP,BSB,7,2,5626
505,POA,SSA,12,3,6442
506,PMW,POA,2,1,5236
507,POA,SP,4,4,9618
508,POA,SP,18,1,8952
509,SP,POA,10,2,2728
510,BH,SSA,5,3,4087
511,POA,PMW,4,1,5800
512,BSB,POA,10,1,4028
513,SP,SAO,9,2,4609
514,BH,FLN,6,3,9752
515,RIO,SP,8,5,3491
516,BH,RIO,11,5,4145
517,BH,BSB,2,4,7962
518,BH,POA,11,2,8294
519,SP,REC,19,1,6685
520,SP,PMW,18,4,2533
521,RIO,SP,12,4,4907
522,BH,MCZ,2,4,8629
523,BSB,BH,9,2,9940
524,FLN,RIO,4,3,6179
525,SP,MCZ,11,3,3416
526,POA,REC,11,5,7545
527,BSB,BH,20,4,7855
528,REC,SP,2,4,7001
529,PMW,RIO,6,5,4939
530,BSB,POA,12,2,7404
531,SAO,RIO,15,3,4523
532,RIO,SSA,9,1,9495
533,SSA,BSB,7,3,7484
534,REC,SP,9,1,9958
535,RIO,POA,19,2,5670
536,SAO,POA,10,2,5260
537,PMW,SP,10,5,3619
538,BH,SP,20,3,8200
539,RIO,MCZ,13,3,8330
540,POA,REC,16,2,8396
541,PMW,FLN,18,4,7346
542,MCZ,SP,5,1,5620
543,RIO,POA,2,5,9067
544,MCZ,SAO,2,5,4716
545,BH,PMW,4,1,7053
546,SAO,BSB,11,4,9831
547,POA,RIO,12,4,9764
548,BSB,PMW,2,5,5279
549,SSA,BH,9,5,2665
550,REC,RIO,5,1,6641
551,MCZ,REC,16,1,7344
552,BH,FLN,12,4,4101
553,MCZ,SP,12,3,5310
554,POA,BH,4,5,7356
555,BH,RIO,14,2,6073
556,SP,MCZ,12,1,8568
557,SAO,PMW,8,2,6563
558,SAO,SP,5,2,4746
559,REC,SAO,5,1,3309
560,SSA,SAO,1,2,7161
561,RIO,SP,15,4,2527
562,FLN,REC,8,4,7091
563,SSA,FLN,2,1,8452
564,FLN,BH,13,3,4504
565,SAO,SP,20,3,7206
566,SSA,PMW,14,5,2811
567,PMW,SAO,4,1,6721
568,FLN,BSB,6,1,9379
569,MCZ,SAO,2,3,9126
570,SSA,BSB,4,4,5999
571,BH,FLN,7,3,4476
572,POA,BH,16,2,3811
573,SSA,SAO,8,4,3872
574,SP,RIO,17,4,5109
575,RIO,SP,19,1,6791
576,REC,POA,15,1,7165
577,FLN,PMW,5,4,7547
578,SP,BSB,13,4,8928
579,POA,RIO,13,5,8699
580,RIO,REC,5,1,4896
581,RIO,PMW,9,4,3140
582,SAO,BH,18,4,9680
583,SSA,REC,15,4,5749
584,SSA,REC,4,2,4598
585,RIO,MCZ,17,2,8693
586,POA,SAO,16,3,3427
587,SAO,BH,1,5,8602
588,REC,SP,18,2,4413
589,POA,RIO,12,2,8383
590,SSA,BSB,13,2,8410
591,SAO,MCZ,19,2,3831
592,PMW,BSB,14,2,3389
593,SP,BH,14,2,3406
594,SP,PMW,15,5,9278
595,RIO,BSB,4,1,4473
596,BH,SSA,15,3,6247
597,POA,FLN,5,2,3248
598,RIO,BSB,11,5,8562
599,BH,BSB,15,3,7354
600,FLN,REC,1,4,8522
601,RIO,SP,4,4,2801
602,RIO,POA,5,3,4028
603,BH,SSA,3,3,9312
604,FLN,MCZ,7,1,9132
605,SAO,SSA,15,3,2736
606,REC,SP,11,1,8394
607,PMW,REC,12,2,9990
608,FLN,BH,17,3,9841
609,FLN,BSB,19,2,9529
610,POA,BH,6,2,2245
611,MCZ,BSB,16,1,3103
612,MCZ,SP,20,4,9082
613,POA,MCZ,4,4,5201
614,MCZ,SP,13,1,5835
615,POA,SSA,15,4,9310
616,PMW,BH,12,1,6165
617,REC,PMW,4,5,5132
618,BSB,SP,15,5,9545
619,SAO,SSA,3,5,3461
620,SSA,PMW,13,2,9508
621,SSA,BSB,7,5,9853
622,SAO,RIO,19,3,4692
623,BSB,FLN,19,2,8763
624,SSA,SP,15,1,2026
625,SSA,POA,7,5,8656
626,BSB,PMW,19,4,7775
627,SP,SAO,3,2,2896
628,BH,REC,14,4,8663
629,REC,RIO,7,3,6650
630,SP,BH,2,1,7703
631,RIO,REC,9,4,2398
632,BH,FLN,13,1,7938
633,FLN,SAO,8,1,5694
634,POA,FLN,9,2,2191
635,RIO,POA,17,4,6994
636,MCZ,RIO,2,1,3490
637,RIO,BSB,14,4,4376
638,BSB,REC,17,1,6185
639,RIO,SAO,15,1,6339
640,BSB,POA,13,1,2917
641,MCZ,REC,2,3,5433
642,SAO,SP,11,2,7217
643,BH,MCZ,13,4,3640
644,SP,REC,11,3,5917
645,FLN,MCZ,2,5,9813
646,PMW,REC,20,4,9273
647,POA,PMW,15,1,8511
648,BSB,SSA,19,4,5878
649,RIO,SP,16,4,9484
650,FLN,POA,7,3,6971
651,SAO,POA,8,2,5107
652,PMW,RIO,7,2,3922
653,MCZ,BH,8,5,7283
654,PMW,RIO,20,3,2817
655,POA,SSA,9,4,4405
656,REC,SSA,1,5,2404
657,POA,RIO,4,1,3778
658,REC,SP,7,5,8627
659,PMW,SAO,19,3,4771
660,POA,REC,5,1,6149
661,BH,SP,16,4,5724
662,BSB,REC,11,2,3811
663,REC,RIO,6,4,7548
664,REC,POA,4,2,7548
665,FLN,SAO,12,4,2810
666,FLN,MCZ,19,2,7959
667,BSB,BH,3,5,6804
668,BSB,REC,11,3,3116
669,SAO,REC,4,2,2932
670,SSA,RIO,4,2,2115
671,RIO,SAO,8,3,3777
672,PMW,BH,15,2,4958
673,RIO,REC,17,3,7527
674,RIO,PMW,5,4,2353
675,PMW,RIO,6,1,2683
676,SP,RIO,1,5,6649
677,BSB,BH,2,5,5881
678,BSB,SSA,5,4,3650
679,BH,RIO,14,5,4424
680,POA,SSA,11,1,5808
681,POA,REC,11,4,4319
682,SSA,POA,17,2,3582
683,PMW,BH,2,3,6577
684,SP,MCZ,1,4,6375
685,POA,PMW,5,1,6214
686,BH,PMW,17,4,8858
687,SSA,BH,3,2,3855
688,SSA,MCZ,10,4,5743
689,BH,SSA,15,5,6739
690,REC,MCZ,14,1,6331
691,RIO,BH,13,1,7604
692,SP,FLN,13,1,9801
693,MCZ,POA,4,5,4444
694,SAO,PMW,15,1,8930
695,FLN,BH,18,5,4846
696,SAO,MCZ,15,3,9461
697,SP,FLN,11,5,6570
698,MCZ,FLN,17,3,7528
699,BSB,REC,12,4,4371
700,SAO,MCZ,2,1,6317
701,SP,MCZ,12,4,2269
702,RIO,SSA,6,3,2880
703,BSB,POA,10,5,8267
704,BSB,SSA,7,1,3683
705,POA,SAO,12,3,7229
706,POA,PMW,3,4,9696
707,SP,POA,3,2,4880
708,SP,RIO,20,4,7341
709,BH,RIO,3,3,5149
710,BH,FLN,19,5,2830
711,PMW,MCZ,10,2,4091
712,SSA,RIO,2,5,5508
713,FLN,PMW,8,1,8932
714,SP,BH,1,5,8782
715,POA,MCZ,9,4,2490
716,FLN,SP,5,4,6709
717,BH,MCZ,8,2,2331
718,SSA,BSB,11,5,4893
719,BSB,RIO,5,5,4444
720,BH,POA,8,1,6009
721,FLN,BH,15,4,5629
722,MCZ,SAO,20,1,5913
723,POA,SP,5,3,4308
724,SP,FLN,17,1,5781
725,FLN,BH,6,4,9234
726,REC,FLN,7,3,8260
727,BSB,RIO,10,3,2788
728,REC,SP,4,2,8829
729,POA,REC,13,1,4854
730,SP,FLN,9,4,6722
731,MCZ,BSB,1,1,2671
732,REC,SP,2,4,2436
733,BSB,SP,19,3,5269
734,MCZ,RIO,14,4,3830
735,POA,BSB,7,2,6800
736,POA,SAO,17,3,9567
737,RIO,SAO,6,3,2098
738,SSA,SAO,11,2,6367
739,BSB,SP,15,1,9663
740,BSB,SP,15,3,9445
741,SSA,SAO,10,2,8905
742,FLN,SP,16,1,6579
743,SP,MCZ,14,5,5610
744,RIO,REC,14,2,9537
745,BSB,SP,12,2,2219
746,SP,RIO,15,4,6711
747,BSB,FLN,15,1,3419
748,PMW,BSB,19,1,5096
749,BSB,SP,2,1,8917
750,RIO,BSB,16,3,5811
751,MCZ,SAO,18,5,2592
752,MCZ,SSA,15,5,3414
753,RIO,POA,13,1,6173
754,SAO,FLN,14,5,2292
755,PMW,SSA,9,1,5799
756,REC,BH,6,3,4069
757,SSA,PMW,5,3,9409
758,SAO,FLN,15,5,2369
759,PMW,POA,17,4,8421
760,BH,FLN,4,1,7795
761,FLN,POA,1,3,7582
762,BSB,POA,20,5,4019
763,BH,REC,2,2,7803
764,BSB,REC,4,1,9823
765,SSA,SP,6,3,7172
766,REC,SP,17,4,2132
767,SP,SSA,16,3,9951
768,SAO,RIO,16,3,7382
769,FLN,SSA,19,3,6759
770,SSA,BSB,8,4,7009
771,BSB,SSA,20,5,2240
772,SSA,REC,14,5,3116
773,MCZ,BSB,20,5,4484
774,PMW,MCZ,2,2,9552
775,BSB,BH,15,1,9828
776,RIO,BH,14,1,5800
777,SAO,FLN,10,3,2337
778,SAO,POA,18,4,7653
779,SSA,SAO,20,3,3215
780,PMW,SSA,4,2,9720
781,REC,FLN,12,4,5381
782,FLN,REC,7,4,9992
783,BH,MCZ,18,2,5856
784,SP,SSA,20,2,8224
785,RIO,MCZ,16,3,4356
786,SP,REC,15,4,5044
787,SSA,RIO,14,1,8347
788,BSB,REC,10,5,3490
789,MCZ,PMW,8,2,3603
790,RIO,POA,18,4,9905
791,SAO,REC,16,4,9158
792,FLN,MCZ,20,2,8599
793,PMW,BSB,13,4,4794
794,RIO,FLN,16,4,2999
795,RIO,SSA,15,5,7383
796,PMW,BSB,5,3,5873
797,SSA,FLN,4,1,7784
798,RIO,PMW,13,5,2710
799,SAO,BH,10,5,3692
800,RIO,BSB,10,3,6718
801,FLN,REC,3,3,4272
802,BH,SAO,11,2,9067
803,BH,MCZ,10,1,6410
804,POA,SAO,18,3,7359
805,SP,RIO,15,4,8916
806,SP,SSA,4,3,6636
807,BH,RIO,4,3,7669
808,SP,MCZ,9,2,6205
809,FLN,REC,17,1,4610
810,POA,SSA,2,4,8575
811,SAO,SP,5,3,8417
812,PMW,SSA,3,2,7159
813,SP,BH,17,5,8606
814,BSB,SAO,1,2,4867
815,SSA,REC,11,2,5363
816,SAO,BSB,19,1,3534
817,FLN,PMW,4,1,6362
818,RIO,MCZ,13,4,8053
819,BSB,SSA,19,5,2168
820,REC,MCZ,10,4,2749
821,SAO,MCZ,8,3,2877
822,MCZ,PMW,11,4,6426
823,FLN,SSA,14,3,2570
824,SSA,PMW,11,4,5999
825,SAO,MCZ,13,2,4304
826,POA,PMW,13,4,3289
827,SSA,FLN,2,5,6159
828,FLN,MCZ,17,1,4926
829,SAO,FLN,19,1,7750
830,SSA,POA,18,2,4415
831,SSA,PMW,3,5,9538
832,FLN,SP,3,2,2097
833,PMW,BH,20,2,8286
834,SP,POA,17,1,6446
835,RIO,FLN,13,5,5650
836,PMW,SAO,2,3,6669
837,SAO,MCZ,10,5,4679
838,SP,BH,10,4,9016
839,BSB,SP,16,3,2644
840,POA,BH,8,4,2811
841,BH,PMW,11,1,2081
842,RIO,SP,16,1,2005
843,SSA,FLN,5,4,6039
844,POA,MCZ,1,1,4723
845,BSB,BH,11,1,2468
